date,estimate_type,tenure,private_dwellings
31 Mar 1991,as at,total,1301700
30 Jun 1991,as at,total,1307000
30 Sep 1991,as at,total,1310700
31 Dec 1991,as at,total,1314500
31 Mar 1992,as at,total,1318600
30 Jun 1992,as at,total,1322900
30 Sep 1992,as at,total,1326600
31 Dec 1992,as at,total,1330600
31 Mar 1993,as at,total,1334500
30 Jun 1993,as at,total,1339000
30 Sep 1993,as at,total,1342800
31 Dec 1993,as at,total,1347000
31 Mar 1994,as at,total,1351500
30 Jun 1994,as at,total,1356000
30 Sep 1994,as at,total,1360400
31 Dec 1994,as at,total,1365400
31 Mar 1995,as at,total,1371100
30 Jun 1995,as at,total,1376900
30 Sep 1995,as at,total,1381900
31 Dec 1995,as at,total,1386500
31 Mar 1996,as at,total,1391200
30 Jun 1996,as at,total,1396800
30 Sep 1996,as at,total,1402500
31 Dec 1996,as at,total,1408600
31 Mar 1997,as at,total,1414100
30 Jun 1997,as at,total,1419900
30 Sep 1997,as at,total,1425200
31 Dec 1997,as at,total,1431500
31 Mar 1998,as at,total,1438700
30 Jun 1998,as at,total,1445300
30 Sep 1998,as at,total,1451100
31 Dec 1998,as at,total,1456000
31 Mar 1999,as at,total,1460900
30 Jun 1999,as at,total,1466300
30 Sep 1999,as at,total,1472100
31 Dec 1999,as at,total,1478900
31 Mar 2000,as at,total,1486600
30 Jun 2000,as at,total,1493000
30 Sep 2000,as at,total,1498300
31 Dec 2000,as at,total,1503400
31 Mar 2001,as at,total,1508600
30 Jun 2001,as at,total,1512800
30 Sep 2001,as at,total,1517000
31 Dec 2001,as at,total,1521800
31 Mar 2002,as at,total,1526800
30 Jun 2002,as at,total,1532000
30 Sep 2002,as at,total,1536900
31 Dec 2002,as at,total,1542800
31 Mar 2003,as at,total,1549600
30 Jun 2003,as at,total,1557400
30 Sep 2003,as at,total,1563300
31 Dec 2003,as at,total,1569900
31 Mar 2004,as at,total,1577700
30 Jun 2004,as at,total,1585300
30 Sep 2004,as at,total,1593000
31 Dec 2004,as at,total,1600900
31 Mar 2005,as at,total,1607400
30 Jun 2005,as at,total,1614600
30 Sep 2005,as at,total,1621200
31 Dec 2005,as at,total,1626500
31 Mar 2006,as at,total,1632600
30 Jun 2006,as at,total,1638400
30 Sep 2006,as at,total,1644000
31 Dec 2006,as at,total,1649200
31 Mar 2007,as at,total,1655400
30 Jun 2007,as at,total,1661100
30 Sep 2007,as at,total,1666500
31 Dec 2007,as at,total,1672400
31 Mar 2008,as at,total,1678200
30 Jun 2008,as at,total,1683500
30 Sep 2008,as at,total,1688000
31 Dec 2008,as at,total,1692700
31 Mar 2009,as at,total,1696600
30 Jun 2009,as at,total,1699600
